species,latitude,longitude
Boronia gracilipes,-34.82461703,116.786015
Boronia gracilipes,-34.822258,116.788513
Boronia gracilipes,-34.825133,116.789989
Boronia gracilipes,-34.982788,116.790212
Boronia gracilipes,-34.966211,116.790597
Boronia gracilipes,-34.82019003,116.794864
Boronia gracilipes,-34.91055603,116.798056
Boronia gracilipes,-34.99305603,116.813056
Boronia gracilipes,-34.99305603,116.813056
Boronia gracilipes,-34.55,116.8167
Boronia gracilipes,-34.99141424,116.81706
Boronia gracilipes,-34.95,116.87
Boronia gracilipes,-34.95,116.87
Boronia gracilipes,-34.98054303,116.879329
Boronia gracilipes,-35,116.8833
Boronia gracilipes,-34.966667,116.883333
Boronia gracilipes,-34.966667,116.883333
Boronia gracilipes,-34.981111,116.886389
Boronia gracilipes,-34.978333,116.889722
Boronia gracilipes,-34.97713503,116.891255
Boronia gracilipes,-34.977712,116.893511
Boronia gracilipes,-34.978611,116.894167
Boronia gracilipes,-34.98166703,116.898056
Boronia gracilipes,-34.80944403,116.901389
Boronia gracilipes,-34.80944403,116.901389
Boronia gracilipes,-34.916667,116.916667
Boronia gracilipes,-34.947312,116.920877
Boronia gracilipes,-34.77777803,116.926111
Boronia gracilipes,-34.77777803,116.926111
Boronia gracilipes,-34.76411103,116.928694
Boronia gracilipes,-34.97,116.93
Boronia gracilipes,-34.97,116.93
Boronia gracilipes,-34.92000003,116.933333
Boronia gracilipes,-34.92000003,116.933333
Boronia gracilipes,-34.92000003,116.933333
Boronia gracilipes,-34.93333303,116.941667
Boronia gracilipes,-34.96500003,116.946667
Boronia gracilipes,-34.97500003,116.95
Boronia gracilipes,-34.97807987,116.9517826
Boronia gracilipes,-34.95000003,116.966667
Boronia gracilipes,-34.77489803,116.988011
Boronia gracilipes,-34.823938,116.989508
Boronia gracilipes,-34.95666703,117.010278
Boronia gracilipes,-34.35972203,117.011667
Boronia gracilipes,-34.35972203,117.011667
Boronia gracilipes,-34.97,117.02
Boronia gracilipes,-34.97638903,117.032222
Boronia gracilipes,-34.9667,117.0333
Boronia gracilipes,-34.92569903,117.050014
Boronia gracilipes,-34.9667,117.0833
Boronia gracilipes,-34.97638903,117.0875
Boronia gracilipes,-34.95666703,117.161944
Boronia gracilipes,-34.48944403,117.166667
Boronia gracilipes,-34.9667,117.1667
Boronia gracilipes,-34.9667,117.2167
Boronia gracilipes,-34.985,117.2494
Boronia gracilipes,-34.9847,117.2494
Boronia gracilipes,-34.984722,117.249444
Boronia gracilipes,-35.01666703,117.25
Boronia gracilipes,-35.016667,117.25
Boronia gracilipes,-34.85194403,117.274167
Boronia gracilipes,-34.8519,117.2742
Boronia gracilipes,-34.8519,117.2742
Boronia gracilipes,-34.85277803,117.275
Boronia gracilipes,-34.87,117.28
Boronia gracilipes,-34.8667,117.2833
Boronia gracilipes,-34.86666703,117.283333
Boronia gracilipes,-34.866667,117.283333
Boronia gracilipes,-34.866667,117.283333
Boronia gracilipes,-34.86557557,117.2845575
Boronia gracilipes,-34.925861,117.287275
Boronia gracilipes,-34.95666703,117.290556
Boronia gracilipes,-35.013681,117.295451
Boronia gracilipes,-34.96666703,117.3
Boronia gracilipes,-34.966667,117.3
Boronia gracilipes,-34.8167,117.3
Boronia gracilipes,-34.8167,117.3
Boronia gracilipes,-34.84000003,117.308333
Boronia gracilipes,-34.983333,117.316667
Boronia gracilipes,-34.761718,117.319142
Boronia gracilipes,-35.004106,117.321172
Boronia gracilipes,-34.85917,117.3215
Boronia gracilipes,-35.003419,117.322381
Boronia gracilipes,-34.95666703,117.323611
Boronia gracilipes,-34.818611,117.325833
Boronia gracilipes,-34.81740503,117.327362
Boronia gracilipes,-35.03972203,117.329722
Boronia gracilipes,-35.03972203,117.329722
Boronia gracilipes,-34.97,117.33
Boronia gracilipes,-35.045728,117.337023
Boronia gracilipes,-34.89611103,117.349444
Boronia gracilipes,-35.01666703,117.35
Boronia gracilipes,-34.97,117.35
Boronia gracilipes,-34.933333,117.35
